Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2003","2003","ha","551","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2004","2004","ha","514","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2005","2005","ha","472","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2006","2006","ha","443","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2007","2007","ha","415","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2008","2008","ha","390","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2009","2009","ha","325","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2010","2010","ha","1149","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2011","2011","ha","823","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2012","2012","ha","548","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2013","2013","ha","503","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2014","2014","ha","468","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2015","2015","ha","438","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2016","2016","ha","413","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2017","2017","ha","391","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2018","2018","ha","380","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2019","2019","ha","409","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2020","2020","ha","500","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2021","2021","ha","470","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2022","2022","ha","473","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2023","2023","ha","398","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1961","1961","ha","12000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1962","1962","ha","12000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1963","1963","ha","12000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1964","1964","ha","13000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1965","1965","ha","13000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1966","1966","ha","13000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1967","1967","ha","13000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1968","1968","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1969","1969","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1970","1970","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1971","1971","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1972","1972","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1973","1973","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1974","1974","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1975","1975","ha","21500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1976","1976","ha","21500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1977","1977","ha","21500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1978","1978","ha","21500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1979","1979","ha","21500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1980","1980","ha","22000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1981","1981","ha","22500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1982","1982","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1983","1983","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1984","1984","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1985","1985","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1986","1986","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1987","1987","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1988","1988","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1989","1989","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1990","1990","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1991","1991","ha","19000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1992","1992","ha","19448","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1993","1993","ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1994","1994","ha","19850","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1995","1995","ha","19000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1996","1996","ha","19410","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1997","1997","ha","18113","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1998","1998","ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","1999","1999","ha","19000","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2000","2000","ha","12932","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2001","2001","ha","13796","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2002","2002","ha","11708","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2003","2003","ha","11728","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2004","2004","ha","11728","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2005","2005","ha","10400","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2006","2006","ha","12200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2007","2007","ha","12400","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2008","2008","ha","10400","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2009","2009","ha","7300","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2010","2010","ha","8466","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2011","2011","ha","10719","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2012","2012","ha","8455","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2013","2013","ha","7832","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2014","2014","ha","8174","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2015","2015","ha","8790","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2016","2016","ha","8273","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2017","2017","ha","8096","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2018","2018","ha","6651","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2019","2019","ha","7000","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2020","2020","ha","7281","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2021","2021","ha","8000","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2022","2022","ha","7746","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01312","Bananas","2023","2023","ha","6845","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1961","1961","ha","19400","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1962","1962","ha","25600","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1963","1963","ha","25300","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1964","1964","ha","19500","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1965","1965","ha","14800","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1966","1966","ha","22100","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1967","1967","ha","21600","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1968","1968","ha","18500","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1969","1969","ha","17200","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1970","1970","ha","17500","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1971","1971","ha","13567","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1972","1972","ha","12000","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1973","1973","ha","10300","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1974","1974","ha","12100","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1975","1975","ha","16100","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1976","1976","ha","16590","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1977","1977","ha","15560","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1978","1978","ha","14850","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1979","1979","ha","10950","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1980","1980","ha","9663","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1981","1981","ha","7448","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1982","1982","ha","8670","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1983","1983","ha","10310","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1984","1984","ha","9800","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1985","1985","ha","12440","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1986","1986","ha","11380","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1987","1987","ha","9300","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1988","1988","ha","9450","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1989","1989","ha","10650","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1990","1990","ha","10840","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1991","1991","ha","9400","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1992","1992","ha","12730","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1993","1993","ha","12570","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1994","1994","ha","13150","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1995","1995","ha","12390","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1996","1996","ha","11240","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1997","1997","ha","9610","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1998","1998","ha","7310","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","1999","1999","ha","8700","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2000","2000","ha","7956","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2001","2001","ha","8620","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2002","2002","ha","10230","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2003","2003","ha","10500","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2004","2004","ha","10020","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2005","2005","ha","9860","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2006","2006","ha","9150","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2007","2007","ha","8830","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2008","2008","ha","8230","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2009","2009","ha","8440","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2010","2010","ha","8406","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2011","2011","ha","10950","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2012","2012","ha","10510","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2013","2013","ha","9710","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2014","2014","ha","8350","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2015","2015","ha","12510","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2016","2016","ha","11480","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2017","2017","ha","12140","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2018","2018","ha","13157","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2019","2019","ha","13273","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2020","2020","ha","13533","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2021","2021","ha","13930","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2022","2022","ha","13376","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01701","Beans, dry","2023","2023","ha","11535","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1961","1961","ha","420","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1962","1962","ha","420","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1963","1963","ha","440","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1964","1964","ha","440","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1965","1965","ha","440","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1966","1966","ha","450","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1967","1967","ha","450","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1968","1968","ha","450","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1969","1969","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1970","1970","ha","260","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1971","1971","ha","470","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1972","1972","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1973","1973","ha","300","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1974","1974","ha","350","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1975","1975","ha","140","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1976","1976","ha","204","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1977","1977","ha","138","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1978","1978","ha","165","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1979","1979","ha","202","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1980","1980","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1981","1981","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1982","1982","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1983","1983","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1984","1984","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1985","1985","ha","170","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1986","1986","ha","140","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1987","1987","ha","140","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1988","1988","ha","168","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1989","1989","ha","170","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1990","1990","ha","190","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1991","1991","ha","200","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1992","1992","ha","206","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1993","1993","ha","210","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1994","1994","ha","220","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1995","1995","ha","250","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1996","1996","ha","259","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1997","1997","ha","300","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1998","1998","ha","280","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","1999","1999","ha","260","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","2000","2000","ha","162","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01212","Cabbages","2001","2001","ha","285","E","Estimated value",""
